,Overall,Boros Energy,Eldrazi Ramp,Orzhov Blink,Amulet Titan,Dimir Oculus,Domain Aggro,Mono Blue Belcher,Dimir Frog,Esper Oculus,Golgari Yawgmoth,Mill,Hollow One,Azorius Control,Jeskai Energy Control,Esper Reanimator,Mardu Energy,Merfolk,Burn,Eldrazi Tron,Domain Cascade,Eldrazi Bloodchief Combo,Jeskai Ocelot,Ruby Storm,Azorius Artifacts,Orzhov Necrodominance,Samwise Combo,Hammer Time,Affinity,Living End,Mono Black Necrodominance,Splinter Twin,Hardened Scales,col name
0,52,50,46,49,46,55,53,48,57,56,51,69,53,67,57,48,46,70,67,51,50,61,51,65,44,66,49,63,62,64,51,61,49,Boros Energy
1,50,53,50,54,39,47,49,48,43,52,59,34,51,57,52,44,56,40,27,48,61,38,54,35,44,39,42,56,54,56,44,68,55,Eldrazi Ramp
2,53,51,46,50,48,76,54,45,61,73,53,55,65,36,48,54,43,62,56,47,44,45,45,62,45,46,61,68,67,58,43,75,73,Orzhov Blink
3,52,54,61,52,50,40,55,28,35,37,54,38,48,40,50,47,51,15,73,65,52,65,57,52,59,63,42,56,80,60,61,36,79,Amulet Titan
4,49,45,53,24,59,50,53,50,44,50,39,66,54,29,67,60,41,48,79,56,41,53,47,69,29,,60,50,21,39,36,94,65,Dimir Oculus
5,52,47,51,46,45,47,50,50,42,58,54,67,63,41,59,38,62,56,70,63,67,38,43,73,71,87,50,41,18,40,60,44,38,Domain Aggro
6,54,52,51,55,72,50,50,50,49,53,52,49,44,65,70,51,56,40,33,68,68,26,41,50,38,,40,18,56,56,,57,33,Mono Blue Belcher
7,54,43,57,39,65,56,58,51,50,70,38,67,42,50,76,59,67,48,84,50,33,45,,85,21,40,75,38,38,40,57,86,56,Dimir Frog
8,47,44,48,27,63,50,42,48,30,50,38,67,48,55,31,53,38,70,53,35,64,54,38,73,0,43,60,60,43,67,44,71,75,Esper Oculus
9,50,49,41,45,46,61,46,48,62,62,50,72,47,53,63,69,56,71,38,57,36,48,40,27,40,75,33,0,44,33,17,55,71,Golgari Yawgmoth
10,43,31,66,45,62,34,33,51,33,33,28,50,20,70,64,32,50,25,20,50,60,38,57,14,38,11,55,67,45,42,25,,60,Mill
11,48,47,47,35,52,46,37,56,58,52,53,80,50,50,69,20,40,67,88,60,18,30,0,54,55,33,20,17,71,44,44,80,,Hollow One
12,50,33,43,64,58,71,59,35,50,45,47,30,50,50,67,36,40,13,36,60,82,29,0,67,38,67,57,56,75,25,57,75,,Azorius Control
13,46,42,48,52,50,33,41,30,24,69,37,36,31,33,50,20,50,67,47,83,30,75,57,83,57,42,40,56,67,0,25,80,0,Jeskai Energy Control
14,52,52,56,46,53,40,62,49,41,47,31,68,80,64,80,50,54,56,71,60,67,36,86,92,20,0,60,25,46,43,33,50,40,Esper Reanimator
15,53,54,44,57,49,59,38,44,33,62,44,50,60,60,50,46,50,,67,60,60,33,50,50,,,75,50,80,25,29,80,60,Mardu Energy
16,50,30,60,38,85,52,44,60,52,30,29,75,33,88,33,44,0,50,62,50,75,,0,75,25,67,56,40,75,80,50,33,0,Merfolk
17,46,33,73,44,28,21,30,67,16,47,62,80,13,64,53,29,33,38,50,33,33,50,0,55,63,30,33,25,67,44,60,57,0,Burn
18,48,49,52,53,35,44,38,32,50,65,43,50,40,40,17,40,40,50,67,50,89,45,40,33,89,25,40,33,67,50,33,50,50,Eldrazi Tron
19,50,50,39,56,48,59,33,32,67,36,64,40,82,18,60,22,40,25,67,11,50,50,80,,33,,0,33,64,0,,43,,Domain Cascade
20,53,39,62,55,35,48,62,74,45,46,52,63,70,71,25,64,67,0,50,55,50,50,25,50,57,60,50,83,50,,80,33,80,Eldrazi Bloodchief Combo
21,53,49,46,55,43,53,57,59,0,62,60,43,,,43,14,50,,,60,20,75,50,50,,,57,50,,33,,50,50,Jeskai Ocelot
22,43,35,65,38,48,31,27,50,15,27,73,86,46,33,17,8,50,25,45,67,0,50,50,50,50,33,50,67,67,0,0,0,0,Ruby Storm
23,52,54,56,55,41,71,24,62,71,,60,63,45,63,43,80,,75,38,11,67,43,0,50,50,71,0,,33,,50,0,50,Azorius Artifacts
24,48,34,61,54,38,,13,0,60,57,25,89,67,33,58,,0,33,70,75,,40,,67,29,50,67,50,50,33,0,0,0,Orzhov Necrodominance
25,51,49,58,39,58,40,50,60,25,40,67,45,80,43,60,40,25,44,33,60,,50,43,50,83,33,50,,67,,50,,,Samwise Combo
26,49,37,44,32,44,50,59,82,62,40,,33,83,44,44,75,50,60,75,67,67,17,50,33,0,50,0,50,0,33,,,,Hammer Time
27,48,38,46,33,20,79,82,44,63,57,56,55,29,25,33,54,20,25,33,33,36,50,,33,67,50,33,,50,0,,50,33,Affinity
28,51,36,44,42,40,61,60,44,60,33,67,58,56,75,,57,75,20,56,50,,0,67,,,67,0,67,,50,67,,0,Living End
29,51,49,56,54,39,64,40,0,43,56,83,75,56,29,75,67,71,50,40,67,0,20,0,,50,,50,0,0,33,50,50,,Mono Black Necrodominance
30,39,39,32,25,64,6,56,43,14,29,45,0,20,25,20,50,20,67,43,50,57,67,50,,,,,,50,0,50,,33,Splinter Twin
31,51,44,43,54,53,72,40,27,,33,33,,75,43,50,50,60,50,,60,67,50,67,67,,,,,60,50,,0,,4 Color Omnath
32,53,49,66,46,69,36,46,25,36,43,86,50,83,67,83,57,33,,,67,,0,0,50,0,50,,17,0,,0,50,67,Eldrazi Breach
33,44,29,75,41,28,29,56,75,33,14,0,67,64,33,0,33,33,33,,,33,50,33,,50,,,67,,,0,25,,Grixis Reanimator
34,44,51,45,27,21,35,63,67,44,25,29,40,0,0,,60,40,,,50,0,20,50,,50,,,0,67,,,67,50,Hardened Scales
35,38,47,22,22,40,47,27,33,,60,25,38,17,75,20,40,,57,,43,0,,0,50,,25,,25,0,,,60,,Jund Saga
36,49,67,46,40,30,19,50,44,0,50,43,,57,67,50,67,43,,0,,63,33,50,50,0,,50,,50,,,50,,Jund Creativity
37,52,57,58,58,57,50,25,38,14,0,25,78,33,0,50,50,50,33,,67,67,,50,80,50,0,,50,50,,,,,5 Color Creativity
38,48,36,44,52,38,,42,67,40,40,0,86,75,14,50,67,,0,,50,50,67,,,,0,0,,,,50,,,Colorless Eldrazi
39,50,25,37,47,60,45,50,67,25,80,83,0,0,,50,50,0,80,33,,50,0,0,,67,,0,,,50,0,0,,Selesnya Ritual
40,42,29,38,44,86,,60,0,11,75,50,20,50,25,,50,0,0,67,0,0,0,,,50,0,0,,,,,0,,Esper Ketramose Frog
41,48,42,46,28,33,40,20,0,0,,,75,50,33,0,,,0,50,,0,50,,50,,50,0,,,0,50,,,Esper Ephemerate
42,39,18,28,25,33,38,20,40,56,,50,,40,50,,,0,20,33,33,0,75,,50,0,,,33,0,40,,0,0,Izzet Murktide
43,53,24,31,71,17,55,75,,50,,33,75,75,,,0,0,67,,0,,,,50,0,,,,67,0,,,,Eldrazi Aggro
44,38,42,23,17,25,40,0,40,,,0,,0,0,,0,67,50,67,,50,0,0,,,,0,,0,0,0,,,Dredge
45,51,53,24,78,40,50,50,0,67,50,,25,,,,0,,50,,,,,75,,,33,,0,0,,,0,,Prison Tron
46,40,25,67,38,33,75,50,33,0,0,0,67,0,0,,40,,50,0,0,0,0,,0,,,0,0,,0,,,0,Soultrader
47,35,40,33,20,,38,40,,29,50,0,,0,0,25,67,,0,,0,0,,,,0,,0,,,0,0,,,Infect
48,49,40,42,50,0,63,0,25,33,,,60,75,33,0,0,0,,,,,67,,,,,,0,,75,,,,Heliod Company
49,41,29,33,50,83,60,0,0,25,,60,,,,75,,,,0,0,,,,,0,0,,,0,0,,50,33,Esper Control
50,38,0,43,50,20,38,50,0,,,50,67,25,25,33,0,50,0,0,,0,,,,,,,,,,0,50,,Lantern Control
51,50,69,33,29,20,,50,,50,,0,50,0,50,,75,,,,0,,,,,,,,,,,,,,Mardu Blink
52,44,64,17,13,25,67,,,,0,50,0,0,,50,0,0,0,50,,0,0,,,,,,0,,,,,,Grixis Oculus
53,49,14,44,25,0,75,50,67,,50,,0,67,75,0,,,,,0,,0,,,,,0,,0,,,,,Humans
54,62,44,50,46,,,83,,40,0,,,0,75,,,,,0,,,,,,0,,,,,,,,,Izzet Control
55,46,27,50,30,60,0,0,50,75,,,,,0,,,,0,0,,,,,50,0,,,,,,,,0,Rakdos Death's Shadow
56,45,33,40,50,,0,50,50,60,,0,0,0,,,50,0,,33,,,0,,,,,0,,0,0,,,0,Izzet Wizards
57,46,20,67,33,0,60,0,,,50,0,,,,,,,0,,,,,,,,0,,,0,0,50,,,Goblins
58,55,50,86,71,33,,,,0,0,,,,50,,33,,,0,0,0,,,,,,,,,,,,,Neoform
59,53,0,50,50,67,,33,0,0,,67,0,67,,,,,,,,0,,,50,,,50,,,,,,0,Grixis Death's Shadow
60,27,0,50,17,50,33,50,,50,0,0,0,,,0,,,0,0,,,,,,,,,,0,0,,,,GW Auras
61,48,33,40,40,,0,25,0,,,,,,,,,50,0,50,,0,,0,,,,50,,,0,,,,Golgari Saga
62,47,30,,50,0,0,,,,,0,0,,,,50,,0,,,,50,,,,,50,0,,0,,0,,Mono Black Rack
63,53,50,,56,,33,,0,0,,0,,33,,,,,,,,,,,33,,,0,,,,,,,Glimpse of Tomorrow
64,36,,0,0,,25,,33,,,50,50,0,,,0,,50,,,0,50,,,,,,,0,50,,,50,Jund Delirium
65,29,33,25,0,0,,0,,50,,,75,33,,,,0,,0,,,,,0,,,,,,0,,,,Elves
66,51,50,60,25,33,67,,,,,,,50,,,,,,,,,,0,,,,,,,,,,,Golgari Cauldron
67,43,75,50,,33,25,50,50,,,50,50,,,,,,,0,,50,,,,,,,,,,,,,Izzet Phoenix
68,38,0,67,0,0,25,50,50,,,50,50,0,,0,,,0,,,0,,,50,,,,,0,,,,,Death and Taxes
69,35,25,0,0,33,,,,0,0,,75,,,,,,,0,,,,,50,,,,0,0,,,,,Rakdos Midrange
70,67,33,67,67,75,,67,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,Jeskai Lotus Field
71,43,,67,60,0,50,0,0,,50,0,,,,,,,0,0,,0,,,,0,,,,,,,,,Calibrated Blast
72,43,,50,67,0,25,33,0,0,,50,,,,,0,0,,0,,,,,,,,,,50,,,,,Bant Control
73,40,25,29,,20,,33,,0,,0,,50,,,,,,,,,,,,,,,,,,,,,Inti's Cookbook
74,53,67,33,33,0,,33,0,,,,,,,,,,,0,,,,,,,,,,,,,,,Mardu Ephemerate
75,61,60,75,67,0,,50,,,0,,,,,0,,,50,,,,,,,0,,,,,,,0,,Dimir Death's Shadow
76,47,67,33,40,,,0,0,0,0,0,,,,0,,0,,,,,0,,,,50,,,,,,0,,Bring to Light
77,39,17,50,33,,0,,,,0,,,,,0,0,,,,,,,,,0,,0,0,,0,,,,Gruul Prowess
78,42,20,25,0,50,50,,,0,,,,,,,,50,,,,0,,,,,,,,,,,,50,Phoenix Red
79,35,0,0,50,0,33,0,,,,,,0,,,,,0,,,50,,,,,,,,,,,,,Mono Black Coffers
80,37,0,67,0,0,20,0,,,,,,0,,,,,,,,0,,0,,,,,,,,,0,,Mono Green Tron
81,43,40,33,50,50,50,,,,,0,,0,,,0,0,,,,,,,,,,,,,,,,,Sultai Oculus
82,55,50,83,33,75,,,,0,0,,,0,50,,,,0,,,,,,,0,,0,,,,0,,,Temur Cascade
83,32,17,0,0,,0,,0,25,0,0,,,,,,,0,,,,,,0,,,,,,,,,,Crabvine
84,43,50,40,50,,0,0,,,,,,,,,,,,,,,,50,0,0,,,,,,,,,Rakdos Aggro
85,46,67,33,0,,,0,,,,,0,,,,,,,0,,,,,0,,,,,,,,,,Rakdos Reanimator
86,46,50,33,50,,,,,0,,,0,,,,,,,0,,,,,,0,,,,,0,,,,Grixis Control
87,44,50,67,50,,,,33,,,0,,,0,,,,,50,0,,,,,,,,,,,0,,0,Bant Ephemerate
88,44,33,0,50,,0,,0,0,,,,,,0,33,0,,,,,,,,,,,,,0,,,,Enchantress
89,41,0,,0,,33,,0,,,0,0,,,,0,,,,,,,0,,,,,,,0,,,,Dimir Reanimator
90,35,0,67,0,,50,0,,33,,,,,,,,,0,,,,,,,,,,,,,,,,Spirits
91,31,57,0,33,,,,,,0,0,50,,,,,,,,,0,,,,,,,,0,0,,,,Thopter Control
92,54,0,0,0,50,60,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,Omnath Control
