Name,Meta Share,Tier,Decks,Price
Boros Energy,13.7,1,4524,960.00
Eldrazi Ramp,10.46,1,3454,652.00
Orzhov Blink,8.78,1,2900,779.00
Dimir Oculus,5.45,1,1801,801.00
Amulet Titan,4.83,1,1594,875.00
Mono Blue Belcher,3.98,1,1313,440.00
Dimir Frog,3.39,2,1118,925.00
Domain Aggro,3.35,2,1106,706.00
Golgari Yawgmoth,2.09,2,691,916.00
Hollow One,2.07,2,683,486.00
Mardu Bombardment,1.98,2,655,1026.00
Mill,1.98,2,654,444.00
Eldrazi Bloodchief Combo,1.74,2,573,893.00
Azorius Control,1.58,2,523,579.00
Ruby Storm,1.49,2,491,500.00
Esper Reanimator,1.45,2,480,910.00
Esper Oculus,1.38,2,456,845.00
Eldrazi Tron,1.37,2,453,617.00
Jeskai Energy Control,1.24,2,409,835.00
Affinity,1.21,2,400,1142.00
Burn,1.1,2,363,302.00
Azorius Artifacts,1.1,2,362,1456.00
Izzet Prowess,1.07,2,354,456.00
Living End,0.94,2,311,663.00
Jund Creativity,0.94,2,310,626.00
Samwise Combo,0.91,2,299,648.00
Merfolk,0.87,2,286,607.00
Domain Cascade,0.8,2,265,815.00
Eldrazi Breach,0.71,2,234,838.00
Jeskai Ocelot,0.71,2,234,1028.00
4 Color Omnath,0.64,2,212,903.00
Splinter Twin,0.61,2,203,733.00
Hammer Time,0.61,2,202,1260.00
Hardened Scales,0.52,2,172,1172.00
Orzhov Necrodominance,0.5,2,164,973.00
Grixis Reanimator,0.47,2,155,816.00
Jund Saga,0.42,2,139,962.00
Izzet Murktide,0.39,2,130,680.00
Mono Black Necrodominance,0.39,2,130,740.00
Colorless Eldrazi,0.34,2,113,1455.00
Neoform,0.33,2,109,513.00
Selesnya Ritual,0.31,2,104,795.00
Esper Ephemerate,0.31,2,104,830.00
Rakdos Burn,0.3,2,100,317.00
Soultrader,0.28,2,92,601.00
Prison Tron,0.27,2,89,570.00
Izzet Wizards,0.26,2,87,615.00
Eldrazi Aggro,0.26,2,85,768.00
Jeskai Ascendancy,0.24,2,80,1622.00
Mono Black Eldrazi Bones,0.22,2,72,736.00
Thopter Control,0.22,2,71,1471.00
Golgari Cauldron,0.2,2,67,1068.00
Lantern Control,0.2,2,66,924.00
Esper Ketramose Frog,0.2,2,65,900.00
Dredge,0.19,2,64,380.00
Esper Control,0.18,2,60,822.00
Mardu Blink,0.18,2,58,913.00
Grixis Oculus,0.17,2,55,919.00
Infect,0.15,2,51,504.00
Dimir Cookbook,0.15,2,48,1366.00
Mono Blue Tron,0.15,2,48,687.00
Golgari Saga,0.14,2,46,839.00
Inti's Cookbook,0.14,2,46,1052.00
Indomitable Creativity,0.14,2,45,660.00
Heliod Company,0.13,2,44,651.00
Sultai Reanimator,0.13,2,43,820.00
Belcher,0.13,2,43,327.00
Jund Delirium,0.13,2,42,466.00
Omnath Control,0.13,2,42,946.00
Izzet Phoenix,0.12,2,40,559.00
Dimir Death's Shadow,0.11,2,36,675.00
Gruul Prowess,0.1,2,34,352.00
Grixis Death's Shadow,0.1,2,34,697.00
Humans,0.1,2,34,519.00
Elves,0.1,2,34,527.00
Dryad Valakut,0.1,2,34,766.00
Goblins,0.1,2,33,462.00
Phoenix Red,0.1,2,33,247.00
Bant Ritual,0.1,2,32,588.00
Mardu Ephemerate,0.09,2,31,983.00
Grixis Control,0.09,2,30,722.00
Death and Taxes,0.09,2,29,439.00
Grixis Murktide,0.08,2,28,931.00
Dimir Reanimator,0.08,2,28,790.00
Rakdos Reanimator,0.08,2,28,522.00
Kethis Combo,0.08,2,28,1649.00
Cragganwick Shoot,0.08,2,27,743.00
Mono Black Rack,0.08,2,26,726.00
Izzet Control,0.08,2,26,667.00
Rakdos Death's Shadow,0.08,2,25,534.00
Golgari Necrodominance,0.08,2,25,670.00
Naya Energy,0.08,2,25,814.00
UW Midrange,0.08,2,25,676.00
GW Auras,0.07,2,23,315.00
Jeskai Prowess,0.07,2,23,496.00
4 Color Breach,0.07,2,22,1336.00
Jund Midrange,0.06,2,21,705.00
Glimpse of Tomorrow,0.06,2,20,724.00
Rakdos Unearth,0.06,2,20,397.00
Mono Blue Turns,0.06,2,20,731.00
Calibrated Blast,0.06,2,19,894.00
Martyr Life,0.06,2,19,629.00
Elementals,0.06,2,19,696.00
Mono Black Coffers,0.06,2,19,632.00
Dimir Artifacts,0.05,2,18,1723.00
Mardu Energy,0.05,2,18,984.00
Jeskai Control,0.05,2,17,785.00
Temur Prowess,0.05,2,16,455.00
Mardu Reanimator,0.05,2,16,717.00
Temur Song,0.05,2,16,1470.00
Jeskai Cori-Steel,0.05,2,16,1630.00
Bant Ephemerate,0.05,2,15,535.00
Grixis Creativity,0.05,2,15,490.00
Sultai Oculus,0.05,2,15,810.00
Mardu Midrange,0.05,2,15,998.00
Mono Red Prowess,0.04,2,14,252.00
Mono Green Tron,0.04,2,14,506.00
Boros Moon,0.04,2,14,849.00
Simic Ritual,0.04,2,14,837.00
Domain Zur,0.04,2,13,873.00
Simic Chord,0.04,2,12,765.00
Electro Balance,0.03,2,11,541.00
Vizier,0.03,2,11,706.00
Jeskai Wizards,0.03,2,11,787.00
Rakdos Midrange,0.03,2,11,862.00
Mono Green Aggro,0.03,2,11,455.00
Jeskai Dress Down,0.03,2,11,818.00
Gifts Storm,0.03,2,11,468.00
Izzet Tron,0.03,2,11,575.00
Rakdos Channeler,0.03,2,11,644.00
Jeskai Lotus Field,0.03,2,11,723.00
Temur Breach,0.03,2,11,1732.00
Asmo Food,0.03,2,10,896.00
Ad nauseam,0.03,2,10,384.00
Red Deck Wins,0.03,2,10,176.00
Dimir Necrodominance,0.03,2,9,986.00
Slivers,0.03,2,9,719.00
Crabvine,0.03,2,9,738.00
Izzet Lutri,0.03,2,9,601.00
Gruul Storm,0.03,2,9,522.00
Enchantress,0.03,2,9,503.00
4 Color Energy,0.03,2,9,938.00
Golgari Reanimator,0.03,2,9,473.00
Dimir Coffers,0.03,2,9,957.00
Temur Scapeshift,0.03,2,9,754.00
Grixis Frog,0.02,2,8,858.00
Caged Emrakul,0.02,2,8,1089.00
Cheerios,0.02,2,8,1114.00
Bant Control,0.02,2,8,546.00
Restore Balance,0.02,2,8,639.00
Loam Assault,0.02,2,8,575.00
Jeskai Waymaster,0.02,2,8,1710.00
Angels,0.02,2,7,293.00
Oops! All Spells,0.02,2,7,293.00
Gruul Karn,0.02,2,7,591.00
Mono Green Devotion,0.02,2,7,591.00
Bring to Light,0.02,2,7,831.00
Rakdos Aggro,0.02,2,7,553.00
Azorius Stoneblade,0.02,2,6,644.00
Dimir Ninjas,0.02,2,6,879.00
Shifting Omniscience,0.02,2,6,502.00
Mono White Stoneblade,0.02,2,6,614.00
4 Color Control,0.02,2,6,716.00
Abzan Midrange,0.02,2,6,901.00
4 Color Reanimator,0.02,2,6,867.00
Boros Ephemerate,0.02,2,6,611.00
Soulflayer Combo,0.02,2,6,568.00
Tameshi Bloom,0.02,2,6,698.00
Orzhov Death's Shadow,0.02,2,6,792.00
Temur Cascade,0.02,2,6,843.00
Rakdos Cookbook,0.02,2,6,1150.00
Izzet Cori-Steel,0.02,2,6,1733.00
Mono Blue Eldrazi,0.02,2,5,781.00
Mono White Control,0.02,2,5,294.00
Boros Convoke,0.02,2,5,480.00
Mardu Creativity,0.02,2,5,524.00
Rakdos Twin,0.02,2,5,581.00
Mono Blue Control,0.02,2,5,569.00
Abzan Chord,0.02,3,5,728.00
4 Color Cascade,0.02,3,5,570.00
8-Whack,0.02,3,5,204.00
Living Twin,0.02,3,5,635.00
Gruul Dragons,0.02,3,5,533.00
Esper Artifacts,0.02,3,5,1203.00
Twiddle Storm,0.02,3,5,528.00
Dimir Faeries,0.02,3,5,686.00
Mardu Land Destruction,0.01,3,4,386.00
Jund Death's Shadow,0.01,3,4,464.00
Mardu Death's Shadow,0.01,3,4,594.00
Rakdos Metalcraft,0.01,3,4,988.00
Gruul Delirium,0.01,3,4,460.00
Saheeli Combo,0.01,3,4,677.00
White Weenie,0.01,3,4,95.00
Gruul Midrange,0.01,3,4,568.00
Spirits,0.01,3,4,473.00
Mardu Greasefang,0.01,3,4,1032.00
4 Color Ritual,0.01,3,4,769.00
4 Color Lutri,0.01,3,4,709.00
Orzhov Control,0.01,3,4,842.00
Abzan Ketramose,0.01,3,4,767.00
Titan Valakut,0.01,3,4,846.00
Colorless Prison,0.01,3,4,859.00
Eldrazi Control,0.01,3,4,646.00
Golgari Midrange,0.01,3,4,662.00
Izzet Storm,0.01,3,4,375.00
Izzet Faeries,0.01,3,3,614.00
Mono White Ephemerate,0.01,3,3,577.00
Prayers Combo,0.01,3,3,745.00
Jeskai Stoneblade,0.01,3,3,831.00
Gruul Aggro,0.01,3,3,353.00
Sultai Reclamation,0.01,3,3,649.00
Mono Black Vampires,0.01,3,3,631.00
Boros Energy Twin,0.01,3,3,789.00
Jeskai Oculus,0.01,3,3,925.00
Rakdos Obosh,0.01,3,3,647.00
Naya Zoo,0.01,3,3,820.00
Smallpox,0.01,3,3,576.00
Jund Reanimator,0.01,3,3,632.00
Gruul Through the Breach,0.01,3,3,703.00
Naya Ritual,0.01,3,3,636.00
Ensoul Artifacts,0.01,3,3,993.00
Naya Karn,0.01,3,3,761.00
Simic Tron,0.01,3,3,560.00
Rakdos Necrodominance,0.01,3,3,986.00
Grixis Lutri,0.01,3,3,702.00
Abzan Ritual,0.01,3,3,740.00
Timeless Amulet,0.01,3,3,846.00
Mono Green Energy,0.01,3,3,641.00
Bant Reclamation,0.01,3,3,621.00
Mystic Tron,0.01,3,3,947.00
Orzhov Lifedrain,0.01,3,3,591.00
Jeskai Phoenix,0.01,3,3,622.00
URx Through the Breach,0.01,3,3,900.00
Abzan Coffers,0.01,3,3,680.00
Mono White Tron,0.01,3,3,368.00
4 Color Ephemerate,0.01,3,3,792.00
4 Color Helga,0.01,3,3,869.00
Dimir Assassins,0.01,3,2,651.00
Simic Evolution,0.01,3,2,380.00
Titanless Amulet,0.01,3,2,756.00
Golgari Sacrifice,0.01,3,2,689.00
Vannifar Combo,0.01,3,2,741.00
Unexpected Results,0.01,3,2,725.00
Zombies,0.01,3,2,270.00
Abzan Ephemerate,0.01,3,2,701.00
Esper Stoneblade,0.01,3,2,769.00
Coretapper Control,0.01,3,2,1300.00
Mono Blue Steel,0.01,3,2,1553.00
4 Color Song,0.01,3,2,1247.00
Abzan Yawgmoth,0.01,3,2,876.00
Mono Black Midrange,0.01,3,2,779.00
Woodlands Omniscience,0.01,3,2,657.00
Naya Solemnity,0.01,3,2,482.00
Vivien Combo,0.01,3,2,773.00
Orzhov Stoneblade,0.01,3,2,808.00
Rakdos Phoenix,0.01,3,2,447.00
Mono Blue Prison,0.01,3,2,936.00
Cookbook Reanimator,0.01,3,2,967.00
Eldrazi Reanimator,0.01,3,2,813.00
Dimir Turns,0.01,3,2,997.00
Jeskai Mutate Storm,0.01,3,2,339.00
Golgari Ritual,0.01,3,2,617.00
Dimir Flash,0.01,3,2,599.00
Jeskai Breach,0.01,3,2,1072.00
Izzet Helix,0.01,3,2,1814.00
4 Color Oculus,0.01,3,2,789.00
Naya Creativity,0.01,3,2,726.00
Eggs Combo,0.01,3,2,947.00
Thassa's Vault,0.01,3,2,611.00
Boros Prison,0.01,3,2,518.00
Abzan Saga,0.01,3,2,820.00
Boros Prowess,0.01,3,2,353.00
Gruul Saga,0.01,3,2,1181.00
Rakdos Discover,0.01,3,2,717.00
Bant Gearhulk,0.01,3,2,768.00
Simic Adventures,0.01,3,2,98.00
As foretold,0.01,3,2,371.00
Sultai Murktide,0.01,3,2,1018.00
Domain Reanimator,0.01,3,2,924.00
Temur Cauldron,0.01,3,2,1840.00